"","Day1","Day2","Day3","Day4","Day5","Day6","Day7","Total","ID","time"
"1...1",54318.1101000012,54190.2384000012,-3600,203859.712000007,83121.6276000018,54055.9728000013,54305.3230000012,500250.983900024,"Household 6","1 am"
"2...2",54337.2912000013,54435.3264000012,54918.560600001,174040.890700004,54292.5360000013,55275.0179000013,54239.2560000013,501538.878799992,"Household 6","2 am"
"3...3",54433.1952000012,54392.7024000012,131794.921400001,53930.2320000013,54893.5338000012,54362.8656000012,54179.5824000013,457987.032799999,"Household 6","3 am"
"4...4",55686.3399000013,55010.7499000013,121452.861100001,54850.9098000012,55066.1610000013,54648.4461000013,54558.9359000014,451274.403699986,"Household 6","4 am"
"5...5",54580.248000001,54816.810500001,204637.530800008,54601.5600000009,54535.492800001,54554.673600001,54586.641600001,532312.957299972,"Household 6","5 am"
"6...6",54746.4813000011,54733.6944000008,204277.388000008,54867.9600000007,54411.8832000011,54607.953600001,54533.3616000011,532178.722099972,"Household 6","6 am"
"7...7",54522.7052000013,54565.3296000012,204577.865600008,54763.531200001,54744.3504000009,54092.2032000013,54550.4112000012,531816.396399972,"Household 6","7 am"
"8...8",54313.8471000011,54392.7022000014,103651.683200001,54737.9565000013,55584.0422000012,53874.820100001,54085.8094000011,430640.86070001,"Household 6","8 am"
"9...9",53862.0332000013,53678.7500000012,-3600,54130.5644000014,54804.0237000011,53870.5581000011,53623.338300001,320369.267700008,"Household 6","9 am"
"10...10",53883.345300001,53256.7728000011,-3600,53994.1680000014,54876.4845000011,53855.639600001,53105.457600001,319371.867800006,"Household 6","10 am"
"11...11",53676.6189000012,53350.545600001,-3600,54185.9757000013,54273.3549000014,54173.188100001,53442.1869000009,319501.870100007,"Household 6","11 am"
"12...12",54198.7627000011,53599.895700001,161669.231500002,54309.5853000013,54224.3374000014,53725.6363000008,53457.1053000009,485184.554199984,"Household 6","12 am"
"13...13",53173.656000001,54002.6925000013,203580.551000008,53825.8032000014,55426.3337000013,53538.0912000012,53646.7824000012,527193.909999973,"Household 6","1 pm"
"14...14",53830.0654000013,52924.3056000007,203220.412000007,54181.7136000013,54422.5389000013,53403.8256000011,52979.7168000009,524962.577899972,"Household 6","2 pm"
"15...15",53563.6656000011,53307.9216000013,203237.460000007,54710.2506000012,54494.9996000013,53734.1616000014,53305.7904000012,526354.249399972,"Household 6","3 pm"
"16...16",53934.4941000012,54087.9405000012,203979.054800007,54697.4637000013,54865.8281000015,54164.6636000013,53753.3421000011,529482.786899975,"Household 6","4 pm"
"17...17",53693.6688000013,53749.0800000013,203810.699000007,204484.689900002,54951.0762000012,53295.134400001,53350.5456000011,677334.893900007,"Household 6","5 pm"
"18...18",53346.2832000013,53913.1824000013,203646.612000007,355904.723300004,54544.0169000012,53832.1963000013,53717.1115000012,828904.125600007,"Household 6","6 pm"
"19...19",54060.2352000013,53546.6160000012,203855.450000008,233330.954000002,53672.3568000013,53625.4704000013,53512.5168000013,705603.599200006,"Household 6","7 pm"
"20...20",55358.1350000013,54409.7516000013,204697.208200007,54874.3529000013,123875.980200002,54337.2909000015,54443.8508000013,601996.569599993,"Household 6","8 pm"
"21...21",226123.934900004,869.177600000006,204232.640600008,54488.6061000014,350531.125200003,53943.0187000013,338823.255299999,1229011.7584,"Household 6","9 pm"
"22...22",355397.430000005,-3600,203753.162000007,53787.4414000013,352708.7483,53508.2544000013,345476.5392,1361031.57529999,"Household 6","10 pm"
"23...23",356215.703400002,-3600,203814.961000007,64368.2883000012,346551.600900003,54096.4656000013,215988.763099998,1237435.7823,"Household 6","11 pm"
"24...24",194773.455400005,-3600,204021.674600007,346527.031799988,54079.4157000011,54277.6173000012,54471.5557000011,904550.750500012,"Household 6","12 pm"
"1...25",27522.9582400001,27440.0348800001,-3600,27178.5073600003,27116.8464000003,27150.8662400003,27250.7995200002,160060.012639999,"Household 5","1 am"
"2...26",27537.84198,27531.4632000001,5149.10229999997,27274.1882200002,27250.7995200003,27210.4010500002,27127.4775900003,169081.273859997,"Household 5","2 am"
"3...27",28022.61912,27814.2475400001,16646.0188200006,27582.4870900002,27610.1279600002,27614.3803600002,27699.4294700002,182989.310359999,"Household 5","3 am"
"4...28",29893.67561,29659.7881300001,13359.3962700004,29725.6970800002,29281.3199700002,29334.4748100003,29485.4377000002,190739.789569998,"Household 5","4 am"
"5...29",62282.0731799997,61746.2694699993,60293.6838499986,62543.5889099988,62652.0282199989,61569.792519999,61478.3646799988,432565.800830006,"Household 5","5 am"
"6...30",27162.0628700003,27629.27021,27503.8220800001,27293.3243700002,27078.5741300003,27221.0322100002,27095.5840200003,190983.669889997,"Household 5","6 am"
"7...31",16787.8499800006,27463.4235400001,25750.2604400001,27248.6733000002,27265.6832100002,27433.6561700001,27263.5570000003,179213.103639997,"Household 5","7 am"
"8...32",16722.5019700007,27376.2476500002,24732.8035700004,27121.0990000003,27095.5839800003,27261.4308400003,27320.9655300002,177630.632539996,"Household 5","8 am"
"9...33",27682.42624,27597.37664,25612.0547900002,27204.0222400002,27212.5272000003,27605.8816,27231.6633600003,190145.952069996,"Household 5","9 am"
"10...34",26444.2215800001,27682.42624,27533.5894400001,27316.7129600002,27099.8364800003,27352.8590400001,27457.0448000001,190886.690539997,"Household 5","10 am"
"11...35",27780.2332799999,27690.9312,27499.5696000001,27333.7228800002,27118.9726400003,27429.4036800002,27437.9086400001,192290.741919996,"Household 5","11 am"
"12...36",27746.21344,27705.81488,27357.1115200002,27318.8392000003,27274.1881600003,27584.6192,27546.3468800001,192533.133279997,"Household 5","12 am"
"13...37",27752.59221,27731.32976,27659.03772,27357.1115700002,27344.3541300001,27580.3667300001,27646.28017,193071.072289996,"Household 5","1 pm"
"14...38",27782.35952,27427.2774400002,27465.5497600001,27425.1512000001,27163.6236800003,27529.33696,27754.7184,192548.016959996,"Household 5","2 pm"
"15...39",27550.5993600001,27569.73552,27493.1908800001,27512.3270400001,85465.9811900017,27727.07728,27676.0475199999,250994.958790002,"Household 5","3 pm"
"16...40",27491.0646900001,27769.6021,27522.9582400001,27518.7058400001,155120.075200007,27816.37933,27461.2973000001,320700.082700002,"Household 5","4 pm"
"17...41",27699.43616,27837.64176,27582.49296,27444.2873600001,34401.1913999999,80703.4363800019,27350.7328000002,253019.218820002,"Household 5","5 pm"
