"","Day1","Day2","Day3","Day4","Day5","Day6","Day7","Total","ID","time"
"1",92781.8068600007,112859.396140001,-3600,124366.068530001,122797.321990001,114095.117350001,110059.212160001,673358.923030003,"Household 4","1 am"
"2",109692.018420001,113249.263790001,53850.5654499994,125082.967110001,122373.365030001,109622.402860001,106816.414690002,740686.99735001,"Household 4","2 am"
"3",71255.31514,114575.169040001,12150.03848,124954.876250001,117414.767850001,114082.814070001,110639.662320001,665072.643150005,"Household 4","3 am"
"4",96777.7395000004,108807.554050001,100359.154180001,123575.341050001,113727.013860001,111336.943790001,106477.167950001,761060.914380002,"Household 4","4 am"
"5",110460.752130001,112775.975520001,92552.4751499992,125894.796310001,114668.91042,113695.631550001,110059.341950001,780107.883030005,"Household 4","5 am"
"6",108124.011160001,112135.929070001,89961.2472899994,124385.204210001,115774.90708,113362.790620001,109021.681920001,772765.771350001,"Household 4","6 am"
"7",121827.395830001,125635.040080001,137469.709019998,123111.481270001,112013.360789999,123884.092290001,117021.226180001,860962.305460001,"Household 4","7 am"
"8",110010.020230001,110433.573260001,56455.9533099993,151321.86851,111976.721069999,115267.612890002,109011.851680001,764477.600950005,"Household 4","8 am"
"9",108700.688270001,111578.867800001,-3600,127759.522350001,149684.144059999,112900.575810001,109337.186300001,716360.984590001,"Household 4","9 am"
"10",108228.579910001,108255.511660001,-3600,129867.120530001,120590.246359998,101640.238040001,126107.797570002,691089.494070003,"Household 4","10 am"
"11",111620.473760001,111489.881640001,-3600,123561.837100001,115948.678629998,104067.490210002,112237.974880001,675326.336220003,"Household 4","11 am"
"12",110269.793130001,108720.757140001,43840.5309099997,124163.351560001,110780.238929998,97262.0910999985,119137.715000001,714174.477770009,"Household 4","12 am"
"13",123154.362540001,109806.923880001,136520.20774,150098.97933,106204.706639999,95154.2828099989,115651.051220001,836590.514160014,"Household 4","1 pm"
"14",107378.123490001,112438.466790001,126048.032410002,128457.348030001,102389.547999999,91912.5150099982,112673.949620001,781297.983350005,"Household 4","2 pm"
"15",121182.937590001,124549.152410001,126865.622300001,127149.734450001,99339.8658200003,89650.3410799993,117471.123360001,806208.777009999,"Household 4","3 pm"
"16",111091.756690001,148793.30628,126651.482420001,126525.486630001,116834.116530001,117485.01631,112988.698500001,860369.863360004,"Household 4","4 pm"
"17",112184.766040001,125653.112030001,138876.553210001,127196.983020001,116587.842360001,96463.9001400003,111647.247670001,828610.404470005,"Household 4","5 pm"
"18",113617.705750001,119884.828770001,127296.817780002,129625.894510001,115527.357410001,111354.349140001,118584.434530001,835891.387889999,"Household 4","6 pm"
"19",123945.256070001,139690.903330001,155878.846980001,136655.990960001,116493.321580001,119017.383020001,112576.903260001,904258.605200002,"Household 4","7 pm"
"20",112573.023930001,125830.030260001,149904.083659999,128650.075710001,115083.199220001,117375.727490001,115163.338030001,864579.47830001,"Household 4","8 pm"
"21",113549.012460001,-3269.27061,129659.406300001,126634.003770001,115556.029280001,117659.217590002,113301.554670001,713089.953460007,"Household 4","9 pm"
"22",111543.599950001,-3600,128371.458870001,125014.925680001,113877.001600001,106007.732730001,111465.432150001,692680.150980008,"Household 4","10 pm"
"23",113233.125390001,-3600,129610.941870001,124885.957290001,116367.922510001,114333.783700001,111217.679300001,706049.41006001,"Household 4","11 pm"
"24",109376.971900001,-3600,127086.084230001,123005.806550001,115093.627640001,107264.294160001,113383.445330001,691610.229810014,"Household 4","12 pm"
